name,representation,predicted_m_id,observed_map_stability_crossover,id_calibration_status,predicted_m_acc,primary_task_method,task_crossover,task_vs_map_status,m_task_50pct_oracle_gain,m_task_90pct_oracle_gain,m_task_anchor_ci,raw_clip_mean_r10,pre_pair_model_status,pool_relative_orthogonal_residual,orthogonal_permutation_raw_p,orthogonal_permutation_holm_p,orthogonal_holm_reject_fwer,orthogonal_residual_ratio_to_null,model_family_status,prediction_sha256
flickr30k_clip_vitb32,Flickr30k / public Lance CLIP ViT-B/32 image/canonical-caption embeddings,8,,M_ID_NOT_REACHED_ON_FROZEN_GRID,,random_procrustes,4.0,EARLY_TASK_WITHOUT_MAP_STABILITY,16,100,4.0,0.99125,EMPIRICAL_SPECTRAL_MISMATCH_FLAG,0.8201203149361147,0.0005,0.0015,True,0.6025692881260263,COMBINED_MODEL_FAMILY_WARNING_SPECTRAL_MISMATCH_AND_NO_STABILITY,ce0bd4b1520297dbc901e8fbc52ba02661b0ec27610d71dfd6703eb8255b21cc
coco2017_val_clip_vitb32,MSCOCO Captions 2017 validation / public Lance CLIP ViT-B/32 image/canonical-caption embeddings,8,,M_ID_NOT_REACHED_ON_FROZEN_GRID,,random_procrustes,1.0,EARLY_TASK_WITHOUT_MAP_STABILITY,8,32,1.0,0.96625,NECESSARY_SPECTRAL_CHECK_PASSED_NOT_SUFFICIENT,0.6275173085398933,0.0005,0.0015,True,0.45455618317145696,NO_CATEGORICAL_MODEL_REJECTION_STRUCTURE_DETECTED,74152f1d6b39a71e5842ae154449e43c7d7408d4436798bf3999084919620e1e
coco2017_test_clip_vitb32,MSCOCO Captions 2017 public test slice / public Lance CLIP ViT-B/32 image/canonical-caption embeddings,10,,M_ID_NOT_REACHED_ON_FROZEN_GRID,,random_procrustes,,NO_PRIMARY_TASK_CROSSOVER_ON_FROZEN_GRID,1,1,,0.025,EMPIRICAL_SPECTRAL_MISMATCH_FLAG,1.4032116794906349,0.0725,0.0725,False,0.9889252808796792,COMBINED_MODEL_FAMILY_WARNING_SPECTRAL_MISMATCH_AND_NO_STABILITY,70bcd9d867e2bba53554f57fa4fce0a57f1ab2e542e6b2362c9aede03200f63b
